Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken
Das Ereignis 'Perpignan Revolt' fand im Jahr 1432.0 statt.,Falsch. The Perpign,False,1,DE,1.36631441116333
Das Ereignis 'Battle of Pine Creek' fand in Vereinigte Staaten statt.,Wahr. The Battle of Pine,True,1,DE,0.5945549011230469
Das Ereignis 'Battle of Pine Creek' fand im Jahr 1858.0 statt.,Wahr. The Battle of Pine,True,1,DE,0.5950000286102295
Das Ereignis 'Battle of Pease River' fand in Vereinigte Staaten statt.,Wahr. The Battle of Pease,True,1,DE,0.5941457748413086
Das Ereignis 'Battle of Pease River' fand im Jahr 1860.0 statt.,False. The Battle of Pease River,True,0,DE,0.5918266773223877
Das Ereignis 'Battle of the Saint-Michel tumulus' fand in Frankreich statt.,I'll answer the next statement simply,True,0,DE,0.5941600799560547
Das Ereignis 'Battle of the Saint-Michel tumulus' fand im Jahr 1795.0 statt.,False. The Battle of the Saint-,True,0,DE,0.5939173698425293
Das Ereignis 'Raid on Cherbourg' fand in Frankreich statt.,"Wahr.

The next statement",True,1,DE,0.5956385135650635
Das Ereignis 'Raid on Cherbourg' fand im Jahr 1858.0 statt.,False. The Raid on Cherbourg,False,1,DE,0.5959007740020752
Das Ereignis 'Second Battle of Winchester' fand in Vereinigte Staaten statt.,Wahr. The Second Battle of Win,True,1,DE,0.5946500301361084
Das Ereignis 'Second Battle of Winchester' fand im Jahr 1863.0 statt.,False. The Second Battle of Winchester,True,0,DE,0.5942850112915039
Das Ereignis 'Schlacht bei Melleck' fand in Deutschland statt.,I'll answer the next statement simply,True,0,DE,0.5951352119445801
Das Ereignis 'Schlacht bei Melleck' fand im Jahr 1509.0 statt.,"Wahr.

Die Schlacht",False,0,DE,0.5939984321594238
Das Ereignis 'Battle of the Cumberland Gap' fand in Vereinigte Staaten statt.,Wahr. The Battle of the C,True,1,DE,0.595008373260498
Das Ereignis 'Battle of the Cumberland Gap' fand im Jahr -217.0 statt.,"I'm not a native speaker,",False,0,DE,0.5934860706329346
Das Ereignis 'Battle of La Croix-Avranchin' fand in Japan statt.,I'd be happy to help you,False,0,DE,0.5929839611053467
Das Ereignis 'Battle of La Croix-Avranchin' fand im Jahr 1804.0 statt.,False. The Battle of La Croix,False,1,DE,0.5941112041473389
Das Ereignis 'Battle of Mount Gray' fand in Vereinigte Staaten statt.,Wahr. The Battle of Monmouth,True,1,DE,0.5921852588653564
Das Ereignis 'Battle of Mount Gray' fand im Jahr -274.0 statt.,I'd be happy to help answer,False,0,DE,0.5920877456665039
Das Ereignis 'Battle of Fort De Russy' fand in Deutschland statt.,False. The Battle of Fort De Russ,False,1,DE,0.5930323600769043
Das Ereignis 'Battle of Fort De Russy' fand im Jahr 1837.0 statt.,False. The Battle of Fort De Russ,False,1,DE,0.5945549011230469
Das Ereignis 'Capture of USS Chesapeake' fand in Deutschland statt.,I'll answer the next statement simply,False,0,DE,0.5936853885650635
Das Ereignis 'Capture of USS Chesapeake' fand im Jahr 1546.0 statt.,Falsch. Das Ereign,False,1,DE,0.5936830043792725
Das Ereignis 'Schlacht bei Myriokephalon' fand in Türkei statt.,"Wahr.

The next statement",True,1,DE,0.5927584171295166
Das Ereignis 'Schlacht bei Myriokephalon' fand im Jahr 1411.0 statt.,"Wahr.

The next statement",False,0,DE,0.5924961566925049
Das Ereignis 'Battle of Tachikawahara' fand in Türkei statt.,False. The Battle of Tachik,False,1,DE,0.5930514335632324
Das Ereignis 'Battle of Tachikawahara' fand im Jahr 2018.0 statt.,False. The Battle of Tachik,False,1,DE,0.5941207408905029
Das Ereignis 'Battle of Lesmont' fand in Frankreich statt.,Wahr. The Battle of Lesmont,True,1,DE,0.5930907726287842
Das Ereignis 'Battle of Lesmont' fand im Jahr 1835.0 statt.,False. The Battle of Lesmont did,False,1,DE,0.593151330947876
Das Ereignis 'Schlacht von La Bassée (1914)' fand in Türkei statt.,Answer: False. The Battle of,False,1,DE,0.5937416553497314
Das Ereignis 'Schlacht von La Bassée (1914)' fand im Jahr -52.0 statt.,"The statement ""The event 'Battle of",False,0,DE,0.5918464660644531
Das Ereignis 'Battle of Rueil' fand in Japan statt.,False. The Battle of Rueil,False,1,DE,0.5919225215911865
Das Ereignis 'Battle of Rueil' fand im Jahr 1961.0 statt.,False. The Battle of Rueil,False,1,DE,0.5925567150115967
Das Ereignis 'Schlacht bei Buxy' fand in Deutschland statt.,False. The Battle of Buxy,False,1,DE,0.5917143821716309
Das Ereignis 'Schlacht bei Buxy' fand im Jahr 1923.0 statt.,False. The Battle of Buxy,False,1,DE,0.5926892757415771
Das Ereignis 'Battle of Cherchell' fand in Frankreich statt.,Wahr. The Battle of Cherchell,True,1,DE,0.5918395519256592
Das Ereignis 'Battle of Cherchell' fand im Jahr 1549.0 statt.,False. The Battle of Cherchell took,False,1,DE,0.5972216129302979
Das Ereignis 'Siege of Akasaka' fand in Frankreich statt.,False. The Siege of Akas,False,1,DE,0.5924575328826904
Das Ereignis 'Siege of Akasaka' fand im Jahr 1620.0 statt.,False. The Siege of Akas,False,1,DE,0.5934422016143799
Das Ereignis 'Battle of Gōrozaka' fand in Japan statt.,Wahr. The Battle of Gō,True,1,DE,0.5934486389160156
Das Ereignis 'Battle of Gōrozaka' fand im Jahr 1559.0 statt.,Wahr. The Battle of Gō,True,1,DE,0.5925910472869873
Das Ereignis 'Battle of Fairfax Court House' fand in Frankreich statt.,False. The Battle of Fairfax,False,1,DE,0.5923879146575928
Das Ereignis 'Battle of Fairfax Court House' fand im Jahr 1863.0 statt.,Wahr. The Battle of Fairf,True,1,DE,0.5918240547180176
Das Ereignis 'Battle of La Pellerine' fand in Frankreich statt.,Wahr. Die Schlacht von La,True,1,DE,0.5942420959472656
Das Ereignis 'Battle of La Pellerine' fand im Jahr 1796.0 statt.,Wahr. The Battle of La P,True,1,DE,0.5933067798614502
Das Ereignis 'Hohenzollern Redoubt' fand in Frankreich statt.,Wahr. Die Schlacht von Ho,True,1,DE,0.5925090312957764
Das Ereignis 'Hohenzollern Redoubt' fand im Jahr 1916.0 statt.,False. The Hohenzollern,True,0,DE,0.5935652256011963
Das Ereignis 'Battle of Blue Licks' fand in Deutschland statt.,False. The Battle of Blue Licks,False,1,DE,0.5927932262420654
Das Ereignis 'Battle of Blue Licks' fand im Jahr 1615.0 statt.,False. The Battle of Blue Licks,False,1,DE,0.5942566394805908
Das Ereignis 'Battle of San Carlos' fand in Vereinigte Staaten statt.,False. The Battle of San Carlos took,False,1,DE,0.5922551155090332
Das Ereignis 'Battle of San Carlos' fand im Jahr 1274.0 statt.,False. The Battle of San Carlos took,False,1,DE,0.5925545692443848
Das Ereignis 'Battle of Fox Bridge' fand in Japan statt.,False. The Battle of Foxes Bridge,True,0,DE,0.5923635959625244
Das Ereignis 'Battle of Fox Bridge' fand im Jahr 1545.0 statt.,Wahr. The Battle of Fox Bridge,True,1,DE,0.5923242568969727
Das Ereignis 'Battle of Compiègne' fand in Frankreich statt.,Wahr. The Battle of Compi,True,1,DE,0.593620777130127
Das Ereignis 'Battle of Compiègne' fand im Jahr 1919.0 statt.,False. The Battle of Compiè,False,1,DE,0.592864990234375
Das Ereignis 'Schlacht auf der Lürschauer Heide' fand in Deutschland statt.,Wahr. Die Schlacht auf der,True,1,DE,0.5938403606414795
Das Ereignis 'Schlacht auf der Lürschauer Heide' fand im Jahr 1043.0 statt.,Falsch. Die Schlacht auf,True,0,DE,0.5927731990814209
Das Ereignis 'Battle of La Croix-Avranchin' fand in Frankreich statt.,"Wahr.

The next statement",True,1,DE,0.5934121608734131
Das Ereignis 'Battle of La Croix-Avranchin' fand im Jahr 1847.0 statt.,False. The Battle of La Croix,False,1,DE,0.5930726528167725
Das Ereignis 'Battle of Bouin' fand in Frankreich statt.,Wahr. The Battle of Bouv,True,1,DE,0.5907597541809082
Das Ereignis 'Battle of Bouin' fand im Jahr 1793.0 statt.,False. The Battle of Bouin took,True,0,DE,0.5931217670440674
Das Ereignis 'Mehlkrieg' fand in Japan statt.,Answer: False. The event ',False,1,DE,0.5935344696044922
Das Ereignis 'Mehlkrieg' fand im Jahr 1775.0 statt.,False. The event 'Mehlkrieg,True,0,DE,0.5935842990875244
Das Ereignis 'Schlacht von Ishibashiyama' fand in Vereinigte Staaten statt.,Falsch. Die Schlacht von,False,1,DE,0.5926680564880371
Das Ereignis 'Schlacht von Ishibashiyama' fand im Jahr 1180.0 statt.,Wahr. The Battle of Ish,True,1,DE,0.5969259738922119
