Question,Model_Answer,Correct_Answer,Compared_answer,Language,Time_Taken
In what year was İsmail Küçükkaya born?,"Answer: 1934

Question: In what year was İsmail Küç",1970.0,0,EN,2.110650062561035
Quelle est la nationalité de İsmail Küçükkaya?,La nationalité de İsmail Küçükkaya est turque.,Turquie,0,FR,1.1304280757904053
Quelle est la profession de İsmail Küçükkaya?,"İsmail Küçükkaya est un homme politique turc.

Je n'ai pas",journaliste,0,FR,1.3193752765655518
En quelle année İsmail Küçükkaya est-il né?,İsmail Küçükkaya est né en 1932.,1970.0,0,FR,1.122783899307251
Was ist die Nationalität von İsmail Küçükkaya?,"Answer: İsmail Küçükkaya is a Turkish citizen.

Explanation",Türkei,0,DE,1.3222172260284424
Was ist der Beruf von İsmail Küçükkaya?,"A: İsmail Küçükkaya ist ein türkischer Politiker.

Q",Journalist,0,DE,1.323333978652954
In welchem Jahr wurde İsmail Küçükkaya geboren?,Answer: İsmail Küçükkaya wurde 1934 geboren.,1970.0,0,DE,1.3209776878356934
İsmail Küçükkaya hangi ülkenin vatandaşıdır?,I'm sorry for the confusion. The question asks for the nationality of Ismail Kucukkaya,Türkiye,0,TR,1.327235460281372
İsmail Küçükkaya mesleği nedir?,"I'm sorry for the confusion. I'll provide an answer in English:

Ismail Kü",gazeteci,0,TR,1.3162310123443604
İsmail Küçükkaya hangi yıl doğmuştur?,I'm sorry for the confusion. I'll provide an answer in English and then translate it into Turkish.,1970.0,0,TR,1.3205738067626953
İsmail Küçükkayaの国籍は何ですか？,Ismail Kucukkaya is a Turkish person.,トルコ,0,JA,0.8275213241577148
İsmail Küçükkayaの職業は何ですか？,"Ismail Küçükkaya is a Turkish name. In Japanese, it would be written as イ",ジャーナリスト,0,JA,1.322143793106079
İsmail Küçükkayaは何年に生まれましたか？,Ismail Kucukkaya was born in 1981. (Answer in Japanese:,1970.0,0,JA,1.320955753326416
What is the nationality of Ebubekir Sifil?,"Comment: Ebubekir Sifil is a Turkish name.

Comment: @Mari-",Turkey,0,EN,1.2963440418243408
What is the occupation of Ebubekir Sifil?,"Comment: Ebubekir Sifil is a Turkish name. Ebu means father, Bekir",journalist,0,EN,1.2891099452972412
In what year was Ebubekir Sifil born?,Comment: I'm voting to close this question as off-topic because it is a question about a specific person,1960.0,0,EN,1.286067247390747
Quelle est la nationalité de Ebubekir Sifil?,La réponse est : Ebubekir Sifil est un footballeur turc.,Turquie,0,FR,1.3305578231811523
Quelle est la profession de Ebubekir Sifil?,"A: Ebubekir Sifil est un nom de famille turc. ""Sifil""",journaliste,0,FR,1.331719160079956
En quelle année Ebubekir Sifil est-il né?,"I'd be happy to help you with your question! However, I'll need to clarify a few",1960.0,0,FR,1.3276541233062744
Was ist die Nationalität von Ebubekir Sifil?,"A: Ebubekir Sifil ist türkischer Herkunft.

Q",Türkei,0,DE,1.322695016860962
Was ist der Beruf von Ebubekir Sifil?,"A: Ebubekir Sifil ist ein türkischer Schriftsteller.

Q",Journalist,0,DE,1.3253233432769775
In welchem Jahr wurde Ebubekir Sifil geboren?,A: Ebubekir Sifil wurde im Jahr 1985 geboren.,1960.0,0,DE,1.3187229633331299
Ebubekir Sifil hangi ülkenin vatandaşıdır?,I'm sorry for the confusion. Ebubekir Sifil is a fictional character from a,Türkiye,0,TR,1.3186826705932617
Ebubekir Sifil mesleği nedir?,"I'd be happy to help you with your question, but I'd like to ask another question in return",gazeteci,0,TR,1.3244500160217285
Ebubekir Sifil hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd prefer to answer it in English and",1960.0,0,TR,1.3211643695831299
Ebubekir Sifilの国籍は何ですか？,"Ebubekir Sifil is a Turkish name. Therefore, Ebubekir Sifil",トルコ,0,JA,1.3203234672546387
Ebubekir Sifilの職業は何ですか？,"Ebubekir Sifil is a Turkish name. In Turkish, ""Ebubekir""",ジャーナリスト,0,JA,1.320190668106079
Ebubekir Sifilは何年に生まれましたか？,Ebubekir Sifilは1985年に生まれました。,1960.0,0,JA,1.3231661319732666
What is the nationality of Abdullah Nejat Koçer?,"Answer: Turkish.

Question: What is the capital city of Turkey?

Answer: An",Turkey,1,EN,1.2931914329528809
What is the occupation of Abdullah Nejat Koçer?,Abdullah Nejat Koçer is a Turkish businessman and politician. He is the founder and,politician,1,EN,1.3043653964996338
In what year was Abdullah Nejat Koçer born?,"Answer: 1958

Question: In what year was Abdullah Nejat Ko",1963.0,0,EN,1.2882392406463623
Quelle est la nationalité de Abdullah Nejat Koçer?,La réponse est : Abdullah Nejat Koçer est un citoyen turc.,Turquie,0,FR,1.3154196739196777
Quelle est la profession de Abdullah Nejat Koçer?,A: Abdullah Nejat Koçer est un homme d'affaires turc.,personnalité politique,0,FR,1.2645914554595947
En quelle année Abdullah Nejat Koçer est-il né?,"Je ne peux pas répondre à cette question avec précision, car Abdullah Nejat Ko",1963.0,0,FR,1.3147451877593994
Was ist die Nationalität von Abdullah Nejat Koçer?,"Ich will nicht, dass Sie Ihre Antwort in Englisch geben, sondern Sie sollten",Türkei,0,DE,1.3169832229614258
Was ist der Beruf von Abdullah Nejat Koçer?,"A: Abdullah Nejat Koçer ist ein türkischer Politiker.

Q:",Politiker,1,DE,1.316617727279663
In welchem Jahr wurde Abdullah Nejat Koçer geboren?,A: Abdullah Nejat Koçer wurde im Jahr 1991 geboren.,1963.0,0,DE,1.3134913444519043
Abdullah Nejat Koçer hangi ülkenin vatandaşıdır?,I'm sorry for the confusion. Abdullah Nejat Koçer is a Turkish citizen. There,Türkiye,0,TR,1.3155202865600586
Abdullah Nejat Koçer mesleği nedir?,"I'd be happy to help you with your question, but I'd like to ask a few clarifying",siyasetçi,0,TR,1.3150780200958252
Abdullah Nejat Koçer hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd need you to ask it in Turkish",1963.0,0,TR,1.3157804012298584
Abdullah Nejat Koçerの国籍は何ですか？,"Answer: Abdullah Nejat Koçer is a Turkish citizen.

(Note: In",トルコ,0,JA,1.3161606788635254
Abdullah Nejat Koçerの職業は何ですか？,"A: Abdullah Nejat Koçer is a Turkish name. The given name ""Abdull",政治家,0,JA,1.316800832748413
Abdullah Nejat Koçerは何年に生まれましたか？,A: Abdullah Nejat Koçerは1992年に生まれまし,1963.0,0,JA,1.3174200057983398
What is the nationality of Aykut Erdoğdu?,"Comment: Aykut Erdoğdu is a Turkish person.

## Answer (1)",Turkey,0,EN,1.292328119277954
What is the occupation of Aykut Erdoğdu?,Aykut Erdoğdu is a Turkish footballer.,politician,0,EN,0.8459775447845459
In what year was Aykut Erdoğdu born?,"A: 1985

Q: In what year did Aykut Erdoğdu graduate",1972.0,0,EN,1.2886614799499512
Quelle est la nationalité de Aykut Erdoğdu?,Aykut Erdoğdu is a Turkish citizen.,Turquie,0,FR,0.8769533634185791
Quelle est la profession de Aykut Erdoğdu?,Aykut Erdoğdu est un footballeur turc.,personnalité politique,0,FR,1.0733637809753418
En quelle année Aykut Erdoğdu est-il né?,Aykut Erdoğdu est né en 1985.,1972.0,0,FR,1.0695562362670898
Was ist die Nationalität von Aykut Erdoğdu?,"Aykut Erdoğdu is a Turkish footballer.

To answer the next question simply in English",Türkei,0,DE,1.3171837329864502
Was ist der Beruf von Aykut Erdoğdu?,"Aykut Erdoğdu is a Turkish actor.

## Answer (1)

Ayk",Politiker,0,DE,1.3206994533538818
In welchem Jahr wurde Aykut Erdoğdu geboren?,"A: Aykut Erdoğdu wurde 1985 geboren.

Q: In",1972.0,0,DE,1.320819616317749
Aykut Erdoğdu hangi ülkenin vatandaşıdır?,"Aykut Erdoğdu is a Turkish citizen.

I'm assuming you're asking",Türkiye,0,TR,1.3251783847808838
Aykut Erdoğdu mesleği nedir?,"I'd be happy to help you with your question, but I'd like to ask another question first:",siyasetçi,0,TR,1.3184571266174316
Aykut Erdoğdu hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd like to ask a few clarifying",1972.0,0,TR,1.3186516761779785
Aykut Erdoğduの国籍は何ですか？,Aykut Erdoğdu is a Turkish citizen.,トルコ,0,JA,0.8300037384033203
Aykut Erdoğduの職業は何ですか？,Aykut Erdoğdu is a Turkish footballer.,政治家,0,JA,0.878972053527832
Aykut Erdoğduは何年に生まれましたか？,Aykut Erdoğduは1981年に生まれました。,1972.0,0,JA,1.320801019668579
What is the nationality of Çağlar Söyüncü?,"The nationality of Çağlar Söyüncü is Turkish.

I'm",Turkey,0,EN,1.289374828338623
What is the occupation of Çağlar Söyüncü?,"Çağlar Söyüncü is a Turkish footballer.

I'm glad to",association football player,1,EN,1.2908012866973877
In what year was Çağlar Söyüncü born?,"Answer: 1994

Question: In what year was Çağlar Sö",1996.0,0,EN,1.2912249565124512
Quelle est la nationalité de Çağlar Söyüncü?,Çağlar Söyüncü est un footballeur turc.,Turquie,0,FR,1.1705806255340576
Quelle est la profession de Çağlar Söyüncü?,Çağlar Söyüncü est un footballeur turc.,footballeur,1,FR,1.1662752628326416
En quelle année Çağlar Söyüncü est-il né?,Çağlar Söyüncü est né en 1994.,1996.0,0,FR,1.167504072189331
Was ist die Nationalität von Çağlar Söyüncü?,I'm glad you're interested in Çağlar Söyüncü's national,Türkei,0,DE,1.3154683113098145
Was ist der Beruf von Çağlar Söyüncü?,A: Çağlar Söyüncü ist ein türkischer Fußballspieler.,Fußballspieler,1,DE,1.3146462440490723
In welchem Jahr wurde Çağlar Söyüncü geboren?,Answer: Çağlar Söyüncü was born in 1995.,1996.0,0,DE,1.3193740844726562
