Question,Model_Answer,Correct_Answer,Compared_answer,Language,Time_Taken
What is the nationality of Meryem Uzerli?,"Comment: Meryem Uzerli is a Turkish actress.

## Answer (1)

M",Germany,0,EN,1.787132978439331
What is the occupation of Meryem Uzerli?,"Meryem Uzerli is an actress.

## Answer (1)

Meryem U",film actor,0,EN,1.3041713237762451
In what year was Meryem Uzerli born?,"A: 1983

I'm glad you could help me out with that one! I",1983.0,1,EN,1.3045694828033447
Quelle est la nationalité de Meriem Userli?,Meriem Userli est une personnalité tunisienne.,Allemagne,0,FR,0.8851938247680664
Quelle est la profession de Meriem Userli?,Meriem Userli est une actrice algérienne.,acteur ou actrice de cinéma,1,FR,0.8353888988494873
En quelle année Meriem Userli est-il né?,Meriem Userli est née en 1995.,1983.0,0,FR,0.9359102249145508
Was ist die Nationalität von Meryem Uzerli?,"Meryem Uzerli is a Turkish actress.

I hope this clears up any confusion. Let",Deutschland,0,DE,1.33378005027771
Was ist der Beruf von Meryem Uzerli?,"Meryem Uzerli ist eine türkische Schauspielerin.

I hope this helps clar",Filmschauspieler,0,DE,1.333827018737793
In welchem Jahr wurde Meryem Uzerli geboren?,A: Meryem Uzerli wurde am 12. Januar 1983 geboren.,1983.0,1,DE,1.33294677734375
Meryem Uzerli hangi ülkenin vatandaşıdır?,"Meryem Uzerli is a Turkish actress.

I'm sorry for the confusion. Mery",Almanya,0,TR,1.3373494148254395
Meryem Uzerli mesleği nedir?,I'm sorry for the confusion. Meryem Uzerli is an actress.,sinema oyuncusu,0,TR,1.1344058513641357
Meryem Uzerli hangi yıl doğmuştur?,""",
    ""answer"": ""Meryem Uzerli 1983 yılında do",1983.0,1,TR,1.3346283435821533
メルイェム・ウゼルリの国籍は何ですか？,"Meliem El-Wakil is Egyptian.

(Meliem El-Wakil",ドイツ,0,JA,1.336010456085205
メルイェム・ウゼルリの職業は何ですか？,"Meliem El Ulfedi is a Moroccan-French actress.

(Note: In",映画俳優,0,JA,1.3359925746917725
メルイェム・ウゼルリは何年に生まれましたか？,Meliem Elul (メリエム・ウゼルリ) is born in 199,1983.0,0,JA,1.3422205448150635
What is the nationality of Atiye?,"Comment: Atiye is a Turkish name.

Comment: @Mari-LouA: I'",Germany,0,EN,1.3063998222351074
What is the occupation of Atiye?,"Answer: Atiye is a Turkish name. It is a feminine name.

Question: What",songwriter,0,EN,1.3047184944152832
In what year was Atiye born?,"Answer: 1995.

Comment: I'm voting to delete this question because it",1988.0,0,EN,1.3062093257904053
Quelle est la nationalité de Atiye Deniz?,Atiye Deniz est une actrice turque.,Allemagne,0,FR,0.8331043720245361
Quelle est la profession de Atiye Deniz?,Atiye Deniz est une actrice turque.,auteur-compositeur ou autrice-compositrice,0,FR,0.8324728012084961
En quelle année Atiye Deniz est-il né?,Atiye Deniz est né en 1992.,1988.0,0,FR,0.9347484111785889
Was ist die Nationalität von Atiye Deniz?,I'm glad you asked! Atiye Deniz is a Turkish actress. Her nationality is Turkish.,Deutschland,0,DE,1.3303616046905518
Was ist der Beruf von Atiye Deniz?,"Atiye Deniz ist eine türkische Schauspielerin.

I hope this helps clarify",Songschreiber,0,DE,1.3307685852050781
In welchem Jahr wurde Atiye Deniz geboren?,"A: I'm sorry, I can't answer that question directly in German, but I can provide the",1988.0,0,DE,1.3334708213806152
Atiye hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but please provide the question in Turkish and",Almanya,0,TR,1.3336737155914307
