Question,Model_Answer,Correct_Answer,Compared_answer,Language,Time_Taken
What is the nationality of Yasuyuki?,"Comment: Yasuyuki is Japanese.

Comment: @user12345678",Japan,1,EN,1.867427110671997
What is the occupation of Yasuyuki?,"Comment: Yasuyuki is a Japanese name, and it consists of two parts: ""Yasu""",blacksmith,0,EN,1.3372128009796143
In what year was Yasuyuki born?,"Answer: 1985

Comment: I'm not sure I understand the question. Are",1982.0,0,EN,1.3361737728118896
Quelle est la nationalité de やすゆき?,"Yasuyuki est un nom de personne japonais. Il signifie ""eight-o'",Japon,1,FR,1.367119312286377
Quelle est la profession de やすゆき?,"Yasuyuki やすゆき is a Japanese name, composed of two parts: や",forgeron ou forgeronne,0,FR,1.3653173446655273
En quelle année やすゆき est-il né?,"I'd be happy to help you with your question! However, I'd like to clarify that I",1982.0,0,FR,1.3645415306091309
Was ist die Nationalität von Yasuyuki?,"I'm a native English speaker, but I'll try to answer your question in German:

Y",Japan,0,DE,1.3615670204162598
Was ist der Beruf von Yasuyuki?,A: Yasuyuki is a Japanese name. The first name is Yasu and the last name is,Schmied,0,DE,1.3630366325378418
In welchem Jahr wurde Yasuyuki geboren?,"A: Yasuyuki was born in 1985.

Q: What is the capital",1982.0,0,DE,1.3609280586242676
やすゆき hangi ülkenin vatandaşıdır?,"I'm sorry, but I cannot provide a response in Turkish and I will not be able to clarify my",Japonya,0,TR,1.3668239116668701
やすゆき mesleği nedir?,"I'm sorry for the confusion. In Turkish, ""yasu yüksek mesleği",Nalbant,0,TR,1.3632245063781738
やすゆき hangi yıl doğmuştur?,"I'm sorry, but I cannot provide an answer to that question in Turkish. The question is asking for the",1982.0,0,TR,1.3649029731750488
やすゆきの国籍は何ですか？,"Yasuyuki is Japanese.

## Answer (1)

> 1. What is the",日本,0,JA,1.3640227317810059
やすゆきの職業は何ですか？,Answer: やすゆきは歯医者（nigakkou）,鍛冶屋,0,JA,1.36307954788208
やすゆきは何年に生まれましたか？,"Yasuyuki is 35 years old.

## Answer (1)

> や",1982.0,0,JA,1.3643858432769775
What is the nationality of Gen Hoshino?,Comment: I'm voting to close this question as off-topic because it is a question about a specific person,Japan,0,EN,1.3351960182189941
What is the occupation of Gen Hoshino?,"Comment: Gen Hoshino is a Japanese general.

Comment: @user123456",recording artist,0,EN,1.3359637260437012
In what year was Gen Hoshino born?,"Answer: 1981

Question: In what year was Gen Hoshino born?",1981.0,1,EN,1.33522629737854
Quelle est la nationalité de Gen Hoshino?,La nationalité de Gen Hoshino est japonaise.,Japon,1,FR,0.9054322242736816
Quelle est la profession de Gen Hoshino?,La profession de Gen Hoshino est celle d'un chanteur.,artiste d'enregistrement,0,FR,1.0559866428375244
En quelle année Gen Hoshino est-il né?,A: Gen Hoshino est né en 1946.,1981.0,0,FR,1.0043580532073975
Was ist die Nationalität von Gen Hoshino?,"Gen Hoshino is a Japanese singer.

I hope this clears up any confusion. Let me know",Japan,1,DE,1.3613390922546387
Was ist der Beruf von Gen Hoshino?,"Gen Hoshino is a Japanese musician and singer-songwriter.

## Answer (1)",Aufnahmekünstler,0,DE,1.3669049739837646
In welchem Jahr wurde Gen Hoshino geboren?,"A: Gen Hoshino wurde 1972 geboren.

Q: In welchem Jahr",1981.0,0,DE,1.3759920597076416
Gen Hoshino hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'd need you to provide an answer in",Japonya,0,TR,1.373037338256836
Gen Hoshino mesleği nedir?,I'm sorry for the confusion. Gen Hoshino is a Japanese manga artist. He creates and illustr,stüdyo sanatçısı,0,TR,1.3730666637420654
Gen Hoshino hangi yıl doğmuştur?,"I'd be happy to help you with your question, but I'd need you to ask it in Turkish",1981.0,0,TR,1.3701729774475098
星野源の国籍は何ですか？,"Staro Yasunori is a Japanese citizen.

## Answer (1)

Star Yas",日本,0,JA,1.37552809715271
星野源の職業は何ですか？,Staro Yasunori is a Japanese actor.,レコーディング・アーティスト,0,JA,0.8090763092041016
星野源は何年に生まれましたか？,"Starano Yasunori is born in 1972.

## Answer (1)",1981.0,0,JA,1.379561424255371
What is the nationality of Bakarhythm?,Comment: I'm voting to close this question as off-topic because it is a question about a fictional,Japan,0,EN,1.3281505107879639
What is the occupation of Bakarhythm?,"Comment: Bakarhythm is a music band.

Comment: @Mari-LouA: I'",lyricist,0,EN,1.327315330505371
In what year was Bakarhythm born?,"Answer: 2013

Next question: In what year did the first version of the Bak",1975.0,0,EN,1.323254108428955
Quelle est la nationalité de Bakarizumu?,Bakarizumu est un personnage fictif issu de la mythologie japonaise. Il,Japon,1,FR,1.3682527542114258
Quelle est la profession de Bakarizumu?,Bakarizumu est un personnage fictif issu de la mythologie japonaise. Il,parolier ou parolière,0,FR,1.3619298934936523
En quelle année Bakarizumu est-il né?,Bakarizumu est né en 1998.,1975.0,0,FR,1.004589319229126
Was ist die Nationalität von Bakarizumu?,"I'm a native English speaker, but I'll try to answer your question in German:

B",Japan,0,DE,1.3623621463775635
Was ist der Beruf von Bakarizumu?,"Ich will wissen, was Bakarizumu ist. Kannst du mir in einfachen",Liedtexter,0,DE,1.3635032176971436
In welchem Jahr wurde Bakarizumu geboren?,"Answer: Bakarizumu was born in 1992.

Explanation:",1975.0,0,DE,1.3627190589904785
Bakarhythm hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your next question in Turkish, but I'd appreciate it if you",Japonya,0,TR,1.3647782802581787
Bakarhythm mesleği nedir?,"I'd be happy to help answer your question in English, but I'll need you to provide a translation",söz yazarı,0,TR,1.3623394966125488
Bakarhythm hangi yıl doğmuştur?,"Bakarhythm 2002 yılında doğmuştur.

<a",1975.0,0,TR,1.3631954193115234
バカリズムの国籍は何ですか？,A: バカリズムはバハレンジ国に属します。,日本,0,JA,1.3639318943023682
バカリズムの職業は何ですか？,A: バカリズム（bakarizumu）は、バカ（baka,作詞家,0,JA,1.364764928817749
バカリズムは何年に生まれましたか？,"Bakarizumu wa nanen ni umaremashita ka?

Bakariz",1975.0,0,JA,1.363680362701416
What is the nationality of Tomoya Nakamura?,Answer: Japanese.,Japan,1,EN,0.4611499309539795
What is the occupation of Tomoya Nakamura?,Answer: Tomoya Nakamura is a Japanese actor.,actor,1,EN,0.8685832023620605
In what year was Tomoya Nakamura born?,"Answer: 1982

Question: In what year was Tomoya Nakamura born?",1986.0,0,EN,1.3271484375
Quelle est la nationalité de Tomoya Nakamura?,Tomoya Nakamura est un personnage fictif japonais.,Japon,1,FR,1.0001652240753174
Quelle est la profession de Tomoya Nakamura?,Tomoya Nakamura est un acteur japonais.,acteur ou actrice,1,FR,0.8987565040588379
En quelle année Tomoya Nakamura est-il né?,"Tomoya Nakamura est né en 1982.

Merci beaucoup pour vot",1986.0,0,FR,1.3554096221923828
Was ist die Nationalität von Tomoya Nakamura?,"Tomoya Nakamura is a Japanese actor.

## Answer (1)

Tomoya Nakam",Japan,1,DE,1.3554372787475586
Was ist der Beruf von Tomoya Nakamura?,"Tomoya Nakamura ist ein japanischer Fußballspieler.

I hope this helps! Let me know",Schauspieler,0,DE,1.360121488571167
In welchem Jahr wurde Tomoya Nakamura geboren?,"A: Tomoya Nakamura wurde im Jahr 1982 geboren.

Q: In",1986.0,0,DE,1.3632025718688965
Tomoya Nakamura hangi ülkenin vatandaşıdır?,"I'd be happy to help you with your question, but I'd need you to provide an English translation",Japonya,0,TR,1.3653674125671387
Tomoya Nakamura mesleği nedir?,"I'd be happy to help you with your question! However, I'll need to provide an answer in",oyuncu,0,TR,1.363433837890625
Tomoya Nakamura hangi yıl doğmuştur?,"I'd be happy to help you with your question! However, I'll need you to provide the query",1986.0,0,TR,1.3620903491973877
