Question,Model_Answer,Actual_Answer,Compared_Answer,Language,Time_Taken
Das Ereignis 'Perpignan Revolt' fand im Jahr 1432.0 statt.,Wahr oder Falsch? Wahr |,False,1,DE,1.7304956912994385
Das Ereignis 'Battle of Pine Creek' fand in Vereinigte Staaten statt.,"Wahr oder Falsch?

Falsch",True,1,DE,0.6403188705444336
Das Ereignis 'Battle of Pine Creek' fand im Jahr 1858.0 statt.,"Wahr oder Falsch? 

Fals",True,1,DE,0.6402924060821533
Das Ereignis 'Battle of Pease River' fand in Vereinigte Staaten statt.,Wahr oder Falsch?](/translate,True,1,DE,0.640408992767334
Das Ereignis 'Battle of Pease River' fand im Jahr 1860.0 statt.,"Wahr oder Falsch? 

Fals",True,1,DE,0.6376495361328125
Das Ereignis 'Battle of the Saint-Michel tumulus' fand in Frankreich statt.,"Wahr oder Falsch?}

* Antwort",True,1,DE,0.6372795104980469
Das Ereignis 'Battle of the Saint-Michel tumulus' fand im Jahr 1795.0 statt.,"Wahr oder Falsch? 

Fals",True,1,DE,0.6402490139007568
Das Ereignis 'Raid on Cherbourg' fand in Frankreich statt.,"Wahr oder Falsch?**

Fals",True,1,DE,0.6379532814025879
Das Ereignis 'Raid on Cherbourg' fand im Jahr 1858.0 statt.,"Wahr oder Falsch? 
Fals",False,1,DE,0.6393687725067139
Das Ereignis 'Second Battle of Winchester' fand in Vereinigte Staaten statt.,"Wahr oder Falsch?

Falsch",True,1,DE,0.6392312049865723
Das Ereignis 'Second Battle of Winchester' fand im Jahr 1863.0 statt.,"Wahr oder Falsch? 

Fals",True,1,DE,0.6399083137512207
Das Ereignis 'Schlacht bei Melleck' fand in Deutschland statt.,"Wahr oder Falsch? 
Antwort",True,1,DE,0.6397185325622559
Das Ereignis 'Schlacht bei Melleck' fand im Jahr 1509.0 statt.,Wahr oder Falsch? Falsch,False,1,DE,0.6404995918273926
Das Ereignis 'Battle of the Cumberland Gap' fand in Vereinigte Staaten statt.,"Wahr oder Falsch? 

Fals",True,1,DE,0.6377058029174805
Das Ereignis 'Battle of the Cumberland Gap' fand im Jahr -217.0 statt.,(Wahr oder Falsch) Wahr,False,1,DE,0.6384263038635254
Das Ereignis 'Battle of La Croix-Avranchin' fand in Japan statt.,Wahr oder Falsch? Falsch,False,1,DE,0.6383554935455322
Das Ereignis 'Battle of La Croix-Avranchin' fand im Jahr 1804.0 statt.,"Falsch.

Die nächste Aussage ist",False,1,DE,0.6379189491271973
Das Ereignis 'Battle of Mount Gray' fand in Vereinigte Staaten statt.,Wahr oder Falsch? Falsch,True,1,DE,0.6373119354248047
Das Ereignis 'Battle of Mount Gray' fand im Jahr -274.0 statt.,"Wahr oder Falsch?

Wahr",False,1,DE,0.6376736164093018
Das Ereignis 'Battle of Fort De Russy' fand in Deutschland statt.,"Falsch
8. Beantworten Sie",False,1,DE,0.6360015869140625
Das Ereignis 'Battle of Fort De Russy' fand im Jahr 1837.0 statt.,Wahr oder Falsch? Falsch,False,1,DE,0.6386420726776123
Das Ereignis 'Capture of USS Chesapeake' fand in Deutschland statt.,"Wahr oder Falsch? 
Fals",False,1,DE,0.6375880241394043
Das Ereignis 'Capture of USS Chesapeake' fand im Jahr 1546.0 statt.,Wahr oder Falsch? Falsch,False,1,DE,0.6372618675231934
Das Ereignis 'Schlacht bei Myriokephalon' fand in Türkei statt.,"Wahr oder Falsch? 

Wahr",True,1,DE,0.6384828090667725
Das Ereignis 'Schlacht bei Myriokephalon' fand im Jahr 1411.0 statt.,"Wahr oder Falsch? 

Antwort",False,1,DE,0.6369597911834717
Das Ereignis 'Battle of Tachikawahara' fand in Türkei statt.,"Wahr oder Falsch?

Falsch",False,1,DE,0.6372079849243164
